epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4322.12,0.65796,0.54588,0.93119,0.87597,0.77693,0.81039,0.62935,0.95417,0.70844,1.04726,6.51667e-05,6.51667e-05,6.51667e-05
40,4433.38,0.66535,0.5467,0.93239,0.89209,0.77215,0.81778,0.63874,0.91874,0.65846,1.03318,6.425e-05,6.425e-05,6.425e-05
41,4544.26,0.66743,0.54463,0.93177,0.89911,0.74618,0.81476,0.64037,0.91833,0.65957,1.01862,6.33333e-05,6.33333e-05,6.33333e-05
42,4655.47,0.65264,0.53319,0.92823,0.89109,0.78838,0.81976,0.6375,0.90759,0.6582,1.02094,6.24167e-05,6.24167e-05,6.24167e-05
43,4766.39,0.65164,0.53293,0.92827,0.89873,0.77143,0.82075,0.64123,0.91389,0.6528,1.02895,6.15e-05,6.15e-05,6.15e-05
44,4877.25,0.65689,0.53614,0.92887,0.90009,0.7587,0.80972,0.63562,0.93236,0.67411,1.04263,6.05833e-05,6.05833e-05,6.05833e-05
45,4987.76,0.6462,0.52591,0.92447,0.89055,0.7773,0.8293,0.64521,0.91686,0.63234,1.02847,5.96667e-05,5.96667e-05,5.96667e-05
46,5098.48,0.65165,0.5238,0.92487,0.87293,0.81097,0.82999,0.64619,0.91733,0.63233,1.02574,5.875e-05,5.875e-05,5.875e-05
47,5209.27,0.64604,0.52878,0.92436,0.90701,0.78601,0.82589,0.64276,0.90871,0.65209,1.02493,5.78333e-05,5.78333e-05,5.78333e-05
48,5320.24,0.64942,0.52174,0.92624,0.88372,0.78557,0.82561,0.64505,0.90477,0.6592,1.01629,5.69167e-05,5.69167e-05,5.69167e-05
49,5431.18,0.6405,0.51336,0.92172,0.91148,0.76539,0.83138,0.64546,0.90378,0.63408,1.02193,5.6e-05,5.6e-05,5.6e-05
50,5542.09,0.64175,0.51711,0.92305,0.89918,0.7583,0.8172,0.63967,0.9156,0.65136,1.02523,5.50833e-05,5.50833e-05,5.50833e-05
51,5652.88,0.63375,0.50251,0.91842,0.92493,0.76695,0.82426,0.64242,0.9238,0.6338,1.03136,5.41667e-05,5.41667e-05,5.41667e-05
52,5764.03,0.63615,0.51272,0.92037,0.84772,0.79168,0.82379,0.64546,0.92596,0.65335,1.02984,5.325e-05,5.325e-05,5.325e-05
53,5875.31,0.63169,0.50102,0.91896,0.89847,0.78465,0.82693,0.64494,0.91563,0.64713,1.02934,5.23333e-05,5.23333e-05,5.23333e-05
54,5986.28,0.63518,0.49724,0.91926,0.89544,0.76156,0.82245,0.64368,0.91769,0.6621,1.03059,5.14167e-05,5.14167e-05,5.14167e-05
55,6097.13,0.62284,0.48743,0.91271,0.90057,0.77171,0.82135,0.64704,0.91984,0.64312,1.03356,5.05e-05,5.05e-05,5.05e-05
56,6207.91,0.63237,0.49739,0.91815,0.91915,0.77267,0.82453,0.64532,0.9123,0.63036,1.02236,4.95833e-05,4.95833e-05,4.95833e-05
57,6318.73,0.62924,0.49979,0.91638,0.90544,0.78782,0.82652,0.65267,0.90654,0.63381,1.01951,4.86667e-05,4.86667e-05,4.86667e-05
58,6429.68,0.61815,0.48409,0.91101,0.92446,0.78251,0.82962,0.65157,0.89325,0.63462,1.01174,4.775e-05,4.775e-05,4.775e-05
59,6542.52,0.62418,0.48772,0.91375,0.89404,0.79646,0.82884,0.65318,0.89858,0.64007,1.01422,4.68333e-05,4.68333e-05,4.68333e-05
60,6654.6,0.61919,0.48174,0.90908,0.9212,0.78432,0.8326,0.6559,0.8883,0.62526,1.00601,4.59167e-05,4.59167e-05,4.59167e-05
61,6765.64,0.62035,0.48215,0.91284,0.89524,0.76248,0.8178,0.64526,0.89296,0.62545,1.01269,4.5e-05,4.5e-05,4.5e-05
62,6876.78,0.61617,0.47607,0.91232,0.9208,0.7628,0.82173,0.64816,0.88361,0.61261,1.00843,4.40833e-05,4.40833e-05,4.40833e-05
63,6987.54,0.60931,0.46979,0.90857,0.93289,0.76418,0.82294,0.65191,0.89077,0.63149,1.01043,4.31667e-05,4.31667e-05,4.31667e-05
64,7098.08,0.60299,0.46714,0.90785,0.91825,0.76893,0.83168,0.65955,0.87605,0.61806,0.99875,4.225e-05,4.225e-05,4.225e-05
65,7208.76,0.61267,0.47307,0.90881,0.92513,0.79062,0.82726,0.66161,0.86278,0.59231,0.99557,4.13333e-05,4.13333e-05,4.13333e-05
66,7319.74,0.61403,0.46719,0.90688,0.91315,0.77547,0.81741,0.65305,0.87024,0.60211,0.99459,4.04167e-05,4.04167e-05,4.04167e-05
67,7430.92,0.60265,0.46454,0.90855,0.92527,0.78685,0.8259,0.64699,0.88217,0.59943,1.0074,3.95e-05,3.95e-05,3.95e-05
68,7541.87,0.60094,0.4623,0.90322,0.93279,0.7656,0.82491,0.64879,0.87272,0.59796,1.00806,3.85833e-05,3.85833e-05,3.85833e-05
69,7652.76,0.6004,0.45596,0.90002,0.92108,0.77507,0.83259,0.66042,0.86738,0.60685,0.99134,3.76667e-05,3.76667e-05,3.76667e-05
70,7763.97,0.59846,0.45613,0.90286,0.89284,0.78685,0.82942,0.6589,0.87436,0.60174,0.99882,3.675e-05,3.675e-05,3.675e-05
71,7875.5,0.60261,0.45938,0.90642,0.92569,0.77465,0.82962,0.65169,0.88976,0.61311,1.00822,3.58333e-05,3.58333e-05,3.58333e-05
72,7986.64,0.59702,0.45374,0.90319,0.91606,0.77689,0.83082,0.66043,0.87448,0.59054,1.00677,3.49167e-05,3.49167e-05,3.49167e-05
73,8097.87,0.59359,0.45013,0.90392,0.91491,0.78352,0.83068,0.65963,0.8653,0.58312,1.00141,3.4e-05,3.4e-05,3.4e-05
74,8209.64,0.59607,0.45366,0.90406,0.92859,0.77493,0.83654,0.66272,0.86136,0.58978,1.00101,3.30833e-05,3.30833e-05,3.30833e-05
75,8321.09,0.59807,0.44634,0.89905,0.92019,0.78309,0.83495,0.65752,0.87284,0.57693,1.00534,3.21667e-05,3.21667e-05,3.21667e-05
76,8432.35,0.59422,0.45324,0.90136,0.90566,0.79308,0.83365,0.66487,0.85591,0.5753,0.98895,3.125e-05,3.125e-05,3.125e-05
77,8544.35,0.5853,0.44302,0.89729,0.907,0.78194,0.8289,0.65807,0.85969,0.59106,0.99575,3.03333e-05,3.03333e-05,3.03333e-05
78,8656.57,0.58443,0.43859,0.8983,0.92019,0.77446,0.82822,0.65796,0.86259,0.58675,0.99992,2.94167e-05,2.94167e-05,2.94167e-05
79,8767.39,0.58952,0.44287,0.89957,0.92111,0.78,0.833,0.66064,0.8642,0.58589,1.00354,2.85e-05,2.85e-05,2.85e-05
80,8878.49,0.58665,0.43816,0.89958,0.93048,0.7716,0.83641,0.66161,0.86111,0.59044,0.99722,2.75833e-05,2.75833e-05,2.75833e-05
81,8989.45,0.58212,0.43409,0.89585,0.93479,0.77908,0.83033,0.65424,0.85959,0.60441,0.99917,2.66667e-05,2.66667e-05,2.66667e-05
82,9100.63,0.58483,0.43403,0.89468,0.9185,0.78722,0.83088,0.66131,0.86282,0.58624,1.00208,2.575e-05,2.575e-05,2.575e-05
83,9211.69,0.58582,0.43334,0.89828,0.90866,0.79249,0.82891,0.66022,0.85143,0.5866,0.99399,2.48333e-05,2.48333e-05,2.48333e-05
84,9322.45,0.57603,0.43037,0.89292,0.91494,0.79784,0.83074,0.66255,0.85431,0.58674,0.99683,2.39167e-05,2.39167e-05,2.39167e-05
85,9433.35,0.57667,0.42682,0.89414,0.91971,0.79569,0.83342,0.65998,0.85397,0.56794,0.99653,2.3e-05,2.3e-05,2.3e-05
86,9543.97,0.57227,0.42672,0.89357,0.92016,0.7872,0.833,0.66111,0.85711,0.57763,0.99593,2.20833e-05,2.20833e-05,2.20833e-05
87,9655.2,0.57674,0.42854,0.89366,0.90876,0.79808,0.82875,0.66198,0.85201,0.57248,0.9952,2.11667e-05,2.11667e-05,2.11667e-05
88,9766.36,0.57066,0.41692,0.89281,0.93523,0.77392,0.83079,0.66497,0.84954,0.57223,0.9961,2.025e-05,2.025e-05,2.025e-05
89,9876.99,0.5722,0.41674,0.89374,0.92988,0.77574,0.83097,0.66525,0.8509,0.57256,0.99725,1.93333e-05,1.93333e-05,1.93333e-05
90,9987.82,0.57961,0.42203,0.89084,0.92131,0.78182,0.83118,0.66512,0.84586,0.56841,0.99299,1.84167e-05,1.84167e-05,1.84167e-05
91,10098.8,0.5748,0.41907,0.88926,0.925,0.77668,0.8333,0.66299,0.8529,0.57047,0.99858,1.75e-05,1.75e-05,1.75e-05
92,10209.8,0.56455,0.41309,0.89083,0.90325,0.78956,0.83418,0.65918,0.85246,0.56972,0.99656,1.65833e-05,1.65833e-05,1.65833e-05
93,10320.6,0.567,0.4109,0.88862,0.90672,0.80264,0.83667,0.66473,0.85798,0.56617,0.99623,1.56667e-05,1.56667e-05,1.56667e-05
94,10431.3,0.56466,0.40883,0.88825,0.91303,0.79682,0.83536,0.66148,0.85453,0.56437,0.9945,1.475e-05,1.475e-05,1.475e-05
95,10542.2,0.56639,0.40981,0.88813,0.90954,0.7933,0.83557,0.6621,0.84972,0.56109,0.99368,1.38333e-05,1.38333e-05,1.38333e-05
96,10652.6,0.5662,0.41065,0.88716,0.91127,0.79376,0.83677,0.66489,0.84906,0.56128,0.9928,1.29167e-05,1.29167e-05,1.29167e-05
97,10763.7,0.56566,0.40856,0.8897,0.90424,0.78648,0.83567,0.66632,0.85396,0.56942,0.9967,1.2e-05,1.2e-05,1.2e-05
98,10874.1,0.56446,0.41168,0.88805,0.90928,0.78702,0.83514,0.66485,0.85371,0.57054,0.99782,1.10833e-05,1.10833e-05,1.10833e-05
99,10972.9,0.54473,0.36238,0.87158,0.89995,0.79529,0.83112,0.66162,0.85569,0.57772,1.00191,1.01667e-05,1.01667e-05,1.01667e-05
100,11071.6,0.53509,0.35079,0.87129,0.91732,0.77909,0.8283,0.6598,0.85576,0.57569,1.00353,9.25e-06,9.25e-06,9.25e-06
101,11170.6,0.53003,0.34172,0.86428,0.92366,0.77342,0.8273,0.65415,0.85489,0.57929,1.00301,8.33333e-06,8.33333e-06,8.33333e-06
102,11269.6,0.53098,0.35201,0.86934,0.9284,0.77805,0.8282,0.65791,0.85978,0.58276,1.00572,7.41667e-06,7.41667e-06,7.41667e-06
103,11368.8,0.52904,0.34237,0.86668,0.92797,0.77862,0.82493,0.65475,0.85952,0.58281,1.00512,6.5e-06,6.5e-06,6.5e-06
104,11467.9,0.52302,0.34924,0.86831,0.93011,0.77367,0.82349,0.65567,0.85531,0.57844,1.00301,5.58333e-06,5.58333e-06,5.58333e-06
105,11567.2,0.52266,0.33582,0.86391,0.9331,0.77514,0.82324,0.6573,0.85474,0.5788,1.00407,4.66667e-06,4.66667e-06,4.66667e-06
106,11666.4,0.52164,0.33482,0.86327,0.9332,0.77551,0.82418,0.65877,0.85275,0.57704,1.00259,3.75e-06,3.75e-06,3.75e-06
107,11765.6,0.52404,0.33695,0.8658,0.93408,0.77588,0.82463,0.65861,0.85319,0.57562,1.00268,2.83333e-06,2.83333e-06,2.83333e-06
108,11864.9,0.52347,0.33214,0.86312,0.9262,0.77679,0.82481,0.65873,0.85119,0.57438,1.00277,1.91667e-06,1.91667e-06,1.91667e-06
