epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.097,1.0491,1.84673,1.13189,0.52478,0.40495,0.39919,0.25578,1.38951,2.05397,1.31205,3.30033e-05,3.30033e-05,0.0670297
2,229.09,0.9074,1.20904,1.06424,0.69802,0.58413,0.6503,0.46241,1.09584,1.22899,1.13064,6.57285e-05,6.57285e-05,0.0337291
3,341.597,0.87479,1.07329,1.04097,0.83032,0.6105,0.70249,0.51435,1.07692,1.00139,1.09043,9.78427e-05,9.78427e-05,0.000427876
4,453.465,0.8506,0.98952,1.0263,0.77335,0.67007,0.71112,0.51454,1.05004,0.9456,1.09758,9.725e-05,9.725e-05,9.725e-05
5,565.103,0.83395,0.92627,1.02101,0.84947,0.65159,0.73447,0.53604,1.04666,0.92578,1.08388,9.63333e-05,9.63333e-05,9.63333e-05
6,677.188,0.81628,0.89139,1.01501,0.8088,0.70631,0.74928,0.55858,1.01556,0.88528,1.06626,9.54167e-05,9.54167e-05,9.54167e-05
7,789.032,0.80446,0.85925,1.00424,0.84775,0.70924,0.76083,0.56513,1.01996,0.88005,1.08975,9.45e-05,9.45e-05,9.45e-05
8,900.794,0.79641,0.81784,1.00072,0.80159,0.68014,0.7495,0.56426,1.04314,0.89537,1.08991,9.35833e-05,9.35833e-05,9.35833e-05
9,1012.43,0.78878,0.80001,0.99797,0.834,0.68389,0.75453,0.56331,1.00559,0.8915,1.0708,9.26667e-05,9.26667e-05,9.26667e-05
10,1124.34,0.77851,0.78221,0.98999,0.87767,0.68761,0.7736,0.57127,1.02651,0.86379,1.09074,9.175e-05,9.175e-05,9.175e-05
11,1235.73,0.77408,0.76407,0.99109,0.86334,0.69144,0.76732,0.57994,0.99025,0.82459,1.05147,9.08333e-05,9.08333e-05,9.08333e-05
12,1347.38,0.77117,0.75222,0.9867,0.87084,0.7244,0.78303,0.5873,0.99517,0.80017,1.05819,8.99167e-05,8.99167e-05,8.99167e-05
13,1458.84,0.759,0.74315,0.98345,0.87517,0.70417,0.77018,0.58545,1.01947,0.80806,1.08128,8.9e-05,8.9e-05,8.9e-05
14,1570.52,0.75905,0.71697,0.97655,0.88176,0.70993,0.78958,0.59861,1.00277,0.79268,1.06288,8.80833e-05,8.80833e-05,8.80833e-05
15,1682.13,0.74803,0.71315,0.97585,0.81855,0.70687,0.77627,0.58178,0.9976,0.80039,1.07241,8.71667e-05,8.71667e-05,8.71667e-05
