epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5759,1.07118,2.31524,1.15897,0.47691,0.11597,0.22674,0.15491,2.16161,3.72833,1.78139,3.2381e-05,3.2381e-05,0.0676514
2,80.3254,0.91081,1.25722,1.06538,0.69785,0.59604,0.64953,0.4539,1.48009,1.65756,1.31727,6.51119e-05,6.51119e-05,0.0343508
3,119.107,0.83662,1.08719,1.032,0.66403,0.73923,0.76666,0.54299,1.22834,1.0964,1.18918,9.72317e-05,9.72317e-05,0.00104961
4,157.974,0.80844,0.9741,1.01742,0.75757,0.76141,0.80321,0.59703,1.15504,0.99755,1.14908,9.725e-05,9.725e-05,9.725e-05
5,198.99,0.78222,0.89382,1.01366,0.71807,0.83305,0.83382,0.62466,1.09205,0.91949,1.12003,9.63333e-05,9.63333e-05,9.63333e-05
6,238.642,0.77137,0.85064,1.00563,0.82496,0.76719,0.84848,0.62895,1.14065,0.93793,1.14825,9.54167e-05,9.54167e-05,9.54167e-05
7,277.215,0.76466,0.81503,1.00544,0.65983,0.86226,0.83554,0.62088,1.08886,0.89781,1.12862,9.45e-05,9.45e-05,9.45e-05
8,315.993,0.74823,0.78222,0.98761,0.81462,0.83858,0.8548,0.64293,1.14783,0.86577,1.15241,9.35833e-05,9.35833e-05,9.35833e-05
9,354.811,0.74666,0.77189,0.98531,0.78582,0.8607,0.86951,0.66231,1.07302,0.88981,1.12565,9.26667e-05,9.26667e-05,9.26667e-05
10,394.298,0.73176,0.73526,0.97188,0.74972,0.87577,0.88298,0.65513,1.09321,0.87482,1.11447,9.175e-05,9.175e-05,9.175e-05
11,433.38,0.7213,0.72121,0.97419,0.83539,0.76357,0.83264,0.62715,1.12395,0.94127,1.15016,9.08333e-05,9.08333e-05,9.08333e-05
