epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,472.625,0.70425,0.69659,0.96799,0.74431,0.85602,0.88603,0.67275,1.06629,0.8148,1.09912,8.99167e-05,8.99167e-05,8.99167e-05
13,511.184,0.69042,0.66457,0.96227,0.79738,0.85825,0.87437,0.69265,1.04877,0.80614,1.10216,8.9e-05,8.9e-05,8.9e-05
14,550.18,0.69397,0.6449,0.95739,0.86585,0.88991,0.92471,0.71601,1.05289,0.8096,1.06306,8.80833e-05,8.80833e-05,8.80833e-05
15,589.117,0.68924,0.64342,0.95769,0.89888,0.90095,0.94029,0.70818,1.05029,0.76332,1.11384,8.71667e-05,8.71667e-05,8.71667e-05
16,628.051,0.67322,0.6253,0.95186,0.86942,0.91112,0.93057,0.70641,1.03973,0.81067,1.09045,8.625e-05,8.625e-05,8.625e-05
17,667.386,0.66733,0.61406,0.95282,0.88341,0.90772,0.93003,0.70978,1.02937,0.75332,1.07894,8.53333e-05,8.53333e-05,8.53333e-05
18,706.94,0.6652,0.59644,0.94743,0.81702,0.94108,0.90489,0.66981,1.06944,0.7579,1.09397,8.44167e-05,8.44167e-05,8.44167e-05
19,746.05,0.6676,0.59017,0.95001,0.83348,0.84979,0.90602,0.66269,1.06657,0.75799,1.11026,8.35e-05,8.35e-05,8.35e-05
20,784.381,0.65467,0.58723,0.94092,0.84597,0.86729,0.89972,0.66182,1.074,0.7749,1.10819,8.25833e-05,8.25833e-05,8.25833e-05
21,823.245,0.65595,0.56825,0.9395,0.80225,0.90391,0.90929,0.68194,1.0284,0.72214,1.0763,8.16667e-05,8.16667e-05,8.16667e-05
22,861.99,0.64184,0.56898,0.93523,0.78484,0.89876,0.87459,0.67934,1.02078,0.75067,1.0818,8.075e-05,8.075e-05,8.075e-05
23,901.162,0.64355,0.55113,0.93528,0.83882,0.91809,0.93699,0.72847,1.01407,0.72053,1.06645,7.98333e-05,7.98333e-05,7.98333e-05
24,939.985,0.64332,0.54879,0.93497,0.80555,0.92325,0.92866,0.69905,1.05374,0.75135,1.08739,7.89167e-05,7.89167e-05,7.89167e-05
25,979.31,0.63468,0.54927,0.93109,0.8501,0.89885,0.92465,0.68603,1.04981,0.71048,1.09506,7.8e-05,7.8e-05,7.8e-05
26,1018.41,0.64308,0.54337,0.93404,0.78154,0.87367,0.89215,0.66878,0.99985,0.74057,1.06866,7.70833e-05,7.70833e-05,7.70833e-05
27,1057.76,0.62669,0.53082,0.93043,0.81546,0.90453,0.92129,0.7201,0.99622,0.71946,1.04896,7.61667e-05,7.61667e-05,7.61667e-05
28,1096.66,0.62068,0.52642,0.92909,0.87157,0.87353,0.93318,0.7136,1.02592,0.72139,1.06896,7.525e-05,7.525e-05,7.525e-05
29,1135.51,0.62591,0.52954,0.92106,0.7814,0.92664,0.89251,0.68143,1.04449,0.7637,1.07533,7.43333e-05,7.43333e-05,7.43333e-05
30,1174.58,0.61378,0.51571,0.9235,0.84704,0.93123,0.93141,0.70945,0.9998,0.70879,1.03956,7.34167e-05,7.34167e-05,7.34167e-05
31,1213.47,0.61315,0.51057,0.92346,0.88305,0.93014,0.92012,0.73049,0.97934,0.67384,1.03602,7.25e-05,7.25e-05,7.25e-05
32,1252.27,0.61493,0.50296,0.92283,0.83623,0.91408,0.92205,0.72166,1.02411,0.70935,1.05802,7.15833e-05,7.15833e-05,7.15833e-05
33,1290.91,0.61372,0.50011,0.92294,0.86548,0.83444,0.92819,0.73255,0.97959,0.70459,1.0378,7.06667e-05,7.06667e-05,7.06667e-05
34,1329.51,0.61294,0.50303,0.92172,0.86139,0.88618,0.91979,0.68796,1.05078,0.73889,1.08894,6.975e-05,6.975e-05,6.975e-05
35,1368.1,0.59933,0.49119,0.92048,0.81905,0.91487,0.90819,0.70131,0.98691,0.72418,1.04544,6.88333e-05,6.88333e-05,6.88333e-05
36,1406.64,0.60793,0.49245,0.92101,0.79578,0.91791,0.89764,0.68856,0.95468,0.66932,1.03952,6.79167e-05,6.79167e-05,6.79167e-05
37,1445.32,0.60671,0.49434,0.91851,0.83439,0.91189,0.93848,0.73815,0.99252,0.64557,1.06689,6.7e-05,6.7e-05,6.7e-05
38,1483.89,0.58701,0.4773,0.91242,0.82474,0.8202,0.89202,0.69816,0.99296,0.69329,1.05275,6.60833e-05,6.60833e-05,6.60833e-05
39,1522.45,0.59154,0.47328,0.91057,0.85523,0.89176,0.91424,0.73239,0.96894,0.64041,1.02377,6.51667e-05,6.51667e-05,6.51667e-05
40,1561.14,0.59995,0.47522,0.90954,0.84132,0.93475,0.93331,0.72971,0.99294,0.68565,1.05388,6.425e-05,6.425e-05,6.425e-05
41,1599.64,0.58739,0.47444,0.90989,0.84829,0.89893,0.92616,0.73211,0.98785,0.69833,1.06405,6.33333e-05,6.33333e-05,6.33333e-05
42,1638.14,0.59135,0.46872,0.91159,0.93334,0.83995,0.93484,0.73945,0.98724,0.63574,1.06497,6.24167e-05,6.24167e-05,6.24167e-05
43,1676.78,0.57496,0.46188,0.91097,0.90279,0.86744,0.93984,0.73509,0.98872,0.64706,1.06937,6.15e-05,6.15e-05,6.15e-05
44,1715.11,0.58354,0.46097,0.91004,0.85258,0.90306,0.91846,0.73353,0.95621,0.69416,1.03927,6.05833e-05,6.05833e-05,6.05833e-05
45,1753.72,0.57312,0.45013,0.89922,0.87142,0.92948,0.93539,0.74167,0.98412,0.63407,1.05169,5.96667e-05,5.96667e-05,5.96667e-05
46,1792.45,0.57469,0.45206,0.90314,0.89219,0.84251,0.94027,0.74184,0.93949,0.64061,1.01825,5.875e-05,5.875e-05,5.875e-05
47,1830.89,0.57072,0.44584,0.89934,0.87372,0.91478,0.94277,0.75399,0.93459,0.63849,1.01208,5.78333e-05,5.78333e-05,5.78333e-05
48,1869.47,0.57462,0.44683,0.89819,0.85431,0.89228,0.91624,0.72373,0.98104,0.63577,1.03904,5.69167e-05,5.69167e-05,5.69167e-05
49,1908.07,0.55935,0.43635,0.89783,0.84162,0.94767,0.92797,0.72731,0.96793,0.65959,1.04846,5.6e-05,5.6e-05,5.6e-05
50,1946.56,0.56831,0.44207,0.89981,0.90678,0.9083,0.93458,0.72445,0.96481,0.63156,1.03211,5.50833e-05,5.50833e-05,5.50833e-05
51,1985.05,0.57064,0.43718,0.90072,0.90638,0.91448,0.94741,0.76466,0.92745,0.59629,0.99675,5.41667e-05,5.41667e-05,5.41667e-05
52,2023.56,0.55776,0.4324,0.89705,0.85528,0.93784,0.95112,0.73809,0.95537,0.63125,1.01929,5.325e-05,5.325e-05,5.325e-05
53,2062.15,0.56294,0.43603,0.89802,0.87972,0.94951,0.95486,0.75095,0.9567,0.61418,1.01789,5.23333e-05,5.23333e-05,5.23333e-05
54,2100.7,0.55318,0.4283,0.89578,0.87101,0.92153,0.92002,0.72699,0.96208,0.64482,1.01942,5.14167e-05,5.14167e-05,5.14167e-05
55,2139.3,0.55689,0.42097,0.89595,0.85221,0.94261,0.93759,0.72872,0.96012,0.63665,1.02022,5.05e-05,5.05e-05,5.05e-05
56,2177.77,0.55022,0.42173,0.89594,0.86911,0.93396,0.94308,0.75172,0.96443,0.63318,1.03094,4.95833e-05,4.95833e-05,4.95833e-05
57,2216.2,0.55162,0.42214,0.89082,0.89045,0.91894,0.93294,0.73419,0.94435,0.62398,1.03552,4.86667e-05,4.86667e-05,4.86667e-05
58,2254.7,0.55124,0.42566,0.89447,0.88594,0.89654,0.92459,0.72644,0.96437,0.63,1.0257,4.775e-05,4.775e-05,4.775e-05
59,2293.01,0.54192,0.41196,0.88973,0.83347,0.93249,0.92686,0.72194,0.96952,0.65486,1.02243,4.68333e-05,4.68333e-05,4.68333e-05
60,2331.49,0.5382,0.41276,0.89136,0.87789,0.92543,0.93169,0.73881,0.93616,0.61004,0.99477,4.59167e-05,4.59167e-05,4.59167e-05
61,2370.14,0.5467,0.4153,0.89525,0.84519,0.91337,0.93894,0.75319,0.94814,0.62668,1.00712,4.5e-05,4.5e-05,4.5e-05
62,2408.68,0.5421,0.41239,0.89133,0.82459,0.93128,0.93115,0.75309,0.91212,0.63811,0.99384,4.40833e-05,4.40833e-05,4.40833e-05
63,2447.26,0.54946,0.40762,0.89246,0.85863,0.92671,0.92648,0.74343,0.932,0.61373,0.99895,4.31667e-05,4.31667e-05,4.31667e-05
64,2486.01,0.537,0.41251,0.89282,0.88596,0.94158,0.94505,0.76271,0.93463,0.5871,1.00373,4.225e-05,4.225e-05,4.225e-05
65,2524.45,0.53269,0.40078,0.887,0.87713,0.94195,0.94363,0.7447,0.93723,0.59757,1.01324,4.13333e-05,4.13333e-05,4.13333e-05
66,2563.02,0.5407,0.40577,0.8902,0.87974,0.92409,0.94149,0.76258,0.94676,0.59263,1.01985,4.04167e-05,4.04167e-05,4.04167e-05
67,2601.39,0.53019,0.39363,0.88624,0.88937,0.89176,0.9419,0.76495,0.92155,0.58204,0.99839,3.95e-05,3.95e-05,3.95e-05
68,2639.62,0.53966,0.40434,0.89286,0.91397,0.90183,0.95287,0.76415,0.92485,0.59278,1.0056,3.85833e-05,3.85833e-05,3.85833e-05
69,2678.26,0.52554,0.39469,0.88586,0.91222,0.91447,0.95192,0.76308,0.91185,0.61419,1.00713,3.76667e-05,3.76667e-05,3.76667e-05
70,2716.81,0.53386,0.39309,0.88807,0.91971,0.9157,0.9514,0.75344,0.92456,0.60543,1.01198,3.675e-05,3.675e-05,3.675e-05
71,2755.76,0.52283,0.39747,0.88489,0.92116,0.9139,0.95503,0.7815,0.88803,0.58139,0.99876,3.58333e-05,3.58333e-05,3.58333e-05
72,2798.34,0.52096,0.38903,0.88531,0.87493,0.92595,0.94779,0.75252,0.90841,0.61982,1.02071,3.49167e-05,3.49167e-05,3.49167e-05
73,2836.99,0.52774,0.39346,0.88733,0.89967,0.90361,0.94091,0.75173,0.9339,0.62007,1.01947,3.4e-05,3.4e-05,3.4e-05
74,2875.62,0.52329,0.3898,0.88458,0.86844,0.91799,0.93608,0.76295,0.90764,0.6393,1.02496,3.30833e-05,3.30833e-05,3.30833e-05
75,2914.31,0.51591,0.38625,0.88013,0.88622,0.91741,0.93072,0.76398,0.89325,0.59349,1.00647,3.21667e-05,3.21667e-05,3.21667e-05
76,2952.93,0.51619,0.37567,0.87967,0.86608,0.91417,0.935,0.76149,0.90097,0.63392,1.0058,3.125e-05,3.125e-05,3.125e-05
77,2991.4,0.51392,0.38027,0.87896,0.88377,0.89554,0.92961,0.75896,0.90273,0.63397,1.00032,3.03333e-05,3.03333e-05,3.03333e-05
78,3029.87,0.51598,0.38242,0.88077,0.8907,0.88704,0.94997,0.7615,0.89933,0.62654,1.01046,2.94167e-05,2.94167e-05,2.94167e-05
79,3068.34,0.51069,0.38138,0.88168,0.92127,0.89651,0.95223,0.77652,0.88188,0.58036,0.99935,2.85e-05,2.85e-05,2.85e-05
80,3107,0.51429,0.37714,0.87963,0.89291,0.9172,0.95034,0.77829,0.88904,0.5784,0.98909,2.75833e-05,2.75833e-05,2.75833e-05
81,3145.67,0.5104,0.37203,0.87817,0.90959,0.92208,0.94922,0.78095,0.86504,0.57263,0.99129,2.66667e-05,2.66667e-05,2.66667e-05
82,3184.17,0.50853,0.37887,0.88034,0.91315,0.93857,0.94469,0.76864,0.8867,0.5826,1.00715,2.575e-05,2.575e-05,2.575e-05
83,3223.04,0.50241,0.37329,0.87746,0.87748,0.94181,0.95062,0.75879,0.88323,0.57172,1.00908,2.48333e-05,2.48333e-05,2.48333e-05
84,3261.74,0.50647,0.36471,0.87409,0.8905,0.92606,0.95001,0.77233,0.89998,0.56562,1.00826,2.39167e-05,2.39167e-05,2.39167e-05
85,3300.4,0.50078,0.36686,0.87592,0.90118,0.94557,0.95803,0.78948,0.89096,0.56845,0.99788,2.3e-05,2.3e-05,2.3e-05
86,3338.94,0.50145,0.36931,0.87619,0.90524,0.91876,0.95516,0.78378,0.86587,0.56189,0.98,2.20833e-05,2.20833e-05,2.20833e-05
87,3377.71,0.51497,0.37747,0.87962,0.88253,0.91939,0.94714,0.77328,0.86209,0.5854,0.97934,2.11667e-05,2.11667e-05,2.11667e-05
88,3416.48,0.50691,0.36359,0.87614,0.92196,0.92252,0.95262,0.77996,0.8829,0.59126,0.97358,2.025e-05,2.025e-05,2.025e-05
89,3455.09,0.49789,0.36362,0.87344,0.92294,0.92008,0.95881,0.78658,0.87239,0.57937,0.97377,1.93333e-05,1.93333e-05,1.93333e-05
90,3493.56,0.49558,0.36078,0.87062,0.8905,0.91773,0.95088,0.78009,0.89321,0.59148,0.9812,1.84167e-05,1.84167e-05,1.84167e-05
91,3531.92,0.49191,0.35908,0.87201,0.89921,0.90984,0.94746,0.77302,0.88704,0.59128,0.99136,1.75e-05,1.75e-05,1.75e-05
92,3570.4,0.50149,0.3626,0.87841,0.89467,0.90318,0.94517,0.76937,0.89344,0.59021,0.99907,1.65833e-05,1.65833e-05,1.65833e-05
93,3608.99,0.49928,0.36078,0.87205,0.8863,0.92667,0.95225,0.76984,0.89288,0.58267,0.99947,1.56667e-05,1.56667e-05,1.56667e-05
94,3647.6,0.48839,0.35248,0.87044,0.90142,0.94705,0.95491,0.77118,0.89834,0.57149,0.99884,1.475e-05,1.475e-05,1.475e-05
95,3686.32,0.49969,0.35686,0.87119,0.89817,0.92188,0.95302,0.78386,0.88104,0.5595,0.98689,1.38333e-05,1.38333e-05,1.38333e-05
96,3724.88,0.49469,0.35267,0.87039,0.90282,0.92075,0.954,0.76954,0.87949,0.55786,0.98537,1.29167e-05,1.29167e-05,1.29167e-05
97,3763.54,0.48764,0.34826,0.87246,0.91782,0.93978,0.95546,0.77034,0.87085,0.5592,0.98601,1.2e-05,1.2e-05,1.2e-05
98,3802.23,0.49477,0.35695,0.86929,0.91374,0.93042,0.95045,0.76964,0.88322,0.56537,0.98975,1.10833e-05,1.10833e-05,1.10833e-05
99,3836.68,0.46316,0.30708,0.84937,0.88233,0.94707,0.95059,0.76743,0.90679,0.57553,0.9968,1.01667e-05,1.01667e-05,1.01667e-05
100,3871.11,0.4563,0.29561,0.8483,0.89111,0.92392,0.94307,0.7489,0.90728,0.5876,1.00211,9.25e-06,9.25e-06,9.25e-06
101,3905.57,0.45481,0.29289,0.84442,0.89951,0.90167,0.94125,0.75562,0.89711,0.57714,0.99755,8.33333e-06,8.33333e-06,8.33333e-06
102,3940.07,0.44667,0.28841,0.84695,0.90782,0.92199,0.95045,0.76951,0.88753,0.57378,0.99017,7.41667e-06,7.41667e-06,7.41667e-06
103,3974.57,0.44762,0.28366,0.84197,0.91224,0.93684,0.95128,0.77004,0.89705,0.58161,0.99163,6.5e-06,6.5e-06,6.5e-06
104,4009.01,0.44423,0.28325,0.84329,0.91016,0.94261,0.9503,0.76928,0.89633,0.58063,0.99307,5.58333e-06,5.58333e-06,5.58333e-06
105,4043.47,0.44195,0.28518,0.84264,0.90972,0.92497,0.95298,0.76918,0.8922,0.57667,0.99092,4.66667e-06,4.66667e-06,4.66667e-06
106,4077.85,0.43767,0.28141,0.84064,0.9034,0.94421,0.95227,0.7746,0.88929,0.57759,0.99009,3.75e-06,3.75e-06,3.75e-06
107,4112.35,0.44093,0.28174,0.84413,0.90206,0.94456,0.95249,0.77774,0.88385,0.57531,0.98922,2.83333e-06,2.83333e-06,2.83333e-06
108,4146.71,0.43817,0.28207,0.84233,0.89982,0.94536,0.95434,0.77807,0.88587,0.57331,0.99006,1.91667e-06,1.91667e-06,1.91667e-06
